,Roll,Name,Email
0,2001CS01,Art Rizzone,arizzone3m@arizona.edu
1,2001CS02,Tallou Glassard,tglassard3n@dmoz.org
2,2001CS03,Merry O'Heyne,moheyne3o@wsj.com
3,2001CS04,Chip Duckwith,cduckwith3p@netscape.com
4,2001CS05,Merwyn Rihanek,mrihanek3q@imgur.com
5,2001CS06,Louise Noor,lnoor3r@ebay.com
6,2001CS07,Bartram Brear,bbrear3s@indiatimes.com
7,2001CS08,Ansley D'Agostino,adagostino3t@blogtalkradio.com
8,2001CS09,Valaria Powland,vpowland3u@boston.com
9,2001CS10,Elonore Reddell,ereddell3v@umich.edu
10,2001CS11,Jazmin Scroggie,jscroggie3w@cisco.com
11,2001CS12,Sawyere MacLeod,smacleod3x@time.com
12,2001CS13,Chery Grint,cgrint3y@shareasale.com
13,2001CS14,Colet Hicklingbottom,chicklingbottom3z@tinypic.com
14,2001CS15,Desirae Shipman,dshipman40@ft.com
15,2001CS16,Laure Kenna,lkenna41@ucoz.ru
16,2001CS17,Jerrie Allred,jallred42@taobao.com
17,2001CS18,Ricky Pikhno,rpikhno43@gov.uk
18,2001CS19,Vonnie Stoney,vstoney44@meetup.com
19,2001CS20,Shellie Fiander,sfiander45@yahoo.com
20,2001CS21,Eleni Orsman,eorsman46@howstuffworks.com
21,2001CS22,Zachariah Riepl,zriepl47@cyberchimps.com
22,2001CS23,Stacie Yukhnev,syukhnev48@miibeian.gov.cn
23,2001CS24,Phylys McGlade,pmcglade49@army.mil
24,2001CS25,Brnaba Conibear,bconibear4a@twitpic.com
25,2001CS26,Anjela Pauer,apauer4b@marriott.com
26,2001CS27,Sheba Fairhead,sfairhead4c@craigslist.org
27,2001CS28,Yankee Dakhov,ydakhov4d@timesonline.co.uk
28,2001CS29,Salome Hymor,shymor4e@bandcamp.com
29,2001CS30,Ariela Ragdale,aragdale4f@addtoany.com
30,2001CS31,Wolfie Clother,wclother4g@hibu.com
31,2001CS32,Tracey Hoofe,thoofe4h@google.fr
32,2001CS33,Janos Gurys,jgurys4i@tinyurl.com
33,2001CS34,Micky McCarle,mmccarle4j@creativecommons.org
34,2001CS35,Niles Brogan,nbrogan4k@mit.edu
35,2001CS36,Kellina Gibbeson,kgibbeson4l@ucoz.ru
36,2001CS37,Meyer Cubbinelli,mcubbinelli4m@toplist.cz
37,2001CS38,Ramsey Skelton,rskelton4n@constantcontact.com
38,2001CS39,Lina Naismith,lnaismith4o@businessweek.com
39,2001CS40,Boyd McPhate,bmcphate4p@drupal.org
40,2001CS41,Marie-jeanne Mingardi,mmingardi4q@thetimes.co.uk
41,2001CS42,Sapphira Mico,smico4r@alibaba.com
42,2001CS43,Joanne Truin,jtruin4s@ca.gov
43,2001CS44,Wilma Braithwaite,wbraithwaite4t@salon.com
44,2001CS45,Rosmunda Rosenfarb,rrosenfarb4u@vk.com
45,2001CS46,Sisely Masarrat,smasarrat4v@columbia.edu
46,2001CS47,Josselyn Reddel,jreddel4w@ask.com
47,2001CS48,Juli Amorts,jamorts4x@dion.ne.jp
48,2001CS49,Tedda Woodington,twoodington4y@seesaa.net
49,2001CS50,Roslyn Pieche,rpieche4z@a8.net
50,2001CS51,Devland Busk,dbusk50@printfriendly.com
51,2001CS52,Alfons Tixier,atixier51@joomla.org
52,2001CS53,Anson Spreull,aspreull52@loc.gov
53,2001CS54,Tasha Studde,tstudde53@typepad.com
54,2001CS55,Cam Mawson,cmawson54@newsvine.com
55,2001CS56,Teodor Crowcroft,tcrowcroft55@about.me
56,2001CS57,Neall McCann,nmccann56@wufoo.com
57,2001CS58,Cammy O'Doran,codoran57@bizjournals.com
58,2001CS59,Nanette Kalb,nkalb58@sciencedirect.com
59,2001CS60,Angel Chessor,achessor59@yandex.ru
60,2001CS61,Micky Axelbee,maxelbee5a@soup.io
61,2001CS62,Stearn Malarkey,smalarkey5b@amazonaws.com
62,2001CS63,Brigham Skarr,bskarr5c@jigsy.com
63,2001CS64,Anallese Speakman,aspeakman5d@trellian.com
64,2001CS65,Nester Cleverley,ncleverley5e@indiegogo.com
65,2001CS66,Cissiee von Nassau,cvon5f@fda.gov
66,2001CS67,Alexia Downey,adowney5g@chron.com
67,2001CS68,Kean Saltmarshe,ksaltmarshe5h@aol.com
68,2001CS69,Heriberto Roughan,hroughan5i@newyorker.com
69,2001CS70,Aigneis Bolf,abolf5j@patch.com
70,2001CS71,Lazarus Andersen,landersen5k@biglobe.ne.jp
71,2001CS72,Sidonia Muat,smuat5l@spotify.com
72,2001CS73,Ezri Mac,emac5m@redcross.org
73,2001CS74,Bradan Leafe,bleafe5n@lycos.com
74,2001CS75,Isabella Trenbay,itrenbay5o@economist.com
75,2001CS76,Zitella Lennie,zlennie5p@deliciousdays.com
76,2001CS77,Karalynn Tole,ktole5q@twitpic.com
77,2001CS78,Gae O'Henecan,gohenecan5r@dailymail.co.uk
78,2001CS79,Solomon Hellewell,shellewell5s@who.int
79,2001CS80,Mortimer Nasi,mnasi5t@wix.com
80,2001CS81,Rhoda Brisset,rbrisset5u@hexun.com
